real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.164792,0.692502,0.714568,1.55061,2.96938,0.472524,1.44151,2.2714,0.0979456,0.183469,1.28085,2.50664,1.80581,1.83718,3.80072,1.297,0.410468,0.143671,0.781939,1.12051,4.41196,2.13639,5.14078,1.53181,0.47114,0.350672,0.397303,0.438068,1.00543,4.60209,1.60064,2.48384,0.295279,0.256489,0.23611,0.90142,0.699376,1.97319,2.0461,1.3723,0.484959,0.235364,0.608568,3.31204,3.64072,3.01095,0.912046,1.35947,0.155437,0.259833,0.82962,1.42302,2.44575,1.86679,1.95348,1.51126,0.502807,0.4336,1.96951,2.53459,6.87644,2.88635,2.75781,2.44597,0.848267,1.03549,1.93732,4.62344,4.80139,2.65232,1.79983,4.34324,0.76234,1.07022,0.92921,2.36286,1.50383,2.9282,1.03894,0.994954,1.92538,0.455481,1.02493,0.861953,0.5055,0.735812,1.87459,1.06809,1.05624,0.480908,1.06908,0.639123,0.258137,0.640278,0.689104,4.24068,0.534971,0.556884,0.16401,0.31054,0.297747,0.675528,1.00122,1.1984
1,0.163548,0.223224,3.0724,1.80219,1.0054,0.446163,1.26819,1.14216,0.295985,0.61159,1.37445,0.661252,0.722046,0.548677,0.834984,1.53105,0.415866,0.167049,0.255724,0.420151,0.588449,1.75536,1.17166,1.36073,1.07904,0.640245,0.460135,0.795416,0.467389,0.839321,0.860018,1.35019,0.982675,0.668978,0.63556,0.581067,0.841891,0.800285,1.2267,7.88289,1.40883,1.26088,1.26318,0.7426,2.02258,1.12974,1.35588,8.51244,0.422955,1.2395,0.905636,1.1766,3.19549,1.92815,2.70357,2.83418,0.768297,0.334134,0.727013,0.331664,1.28401,2.06915,3.92539,1.61308,0.715953,2.51307,1.29693,0.574441,1.95734,2.44314,4.95181,3.84791,0.57471,1.54402,0.745871,0.625121,1.18279,3.36349,3.84198,1.41679,0.83379,1.13794,0.375457,0.479925,0.541941,0.650709,3.37693,1.07836,0.714028,1.19757,0.941552,0.567792,0.735626,3.03406,0.547146,1.30427,1.23317,0.391056,0.26448,0.299378,0.257424,0.660574,0.644399,1.03777
2,2.54019,2.97131,7.5778,2.08978,2.16213,0.384278,0.534367,0.413421,1.34922,1.12321,3.55429,6.08704,1.18503,0.496815,0.842302,0.686864,0.787122,0.691588,1.50617,1.95328,4.68333,0.812688,0.722814,0.881497,0.76323,1.10817,2.73912,1.11927,1.45972,0.773598,0.459822,0.737279,0.47472,0.837532,0.865274,1.05456,0.722582,1.63639,1.76723,1.40562,0.653763,0.897713,1.30836,1.50172,2.79105,1.61837,0.870484,1.94016,0.75624,1.31155,0.926426,1.31529,1.70874,1.28642,1.20468,1.40738,1.00974,0.596103,1.14812,1.36424,2.47732,2.37121,2.51212,1.50173,1.1647,0.730219,1.03652,3.57444,3.00659,2.64909,3.98687,4.65481,3.14411,0.872715,0.879818,1.67311,2.07605,2.62234,2.28704,1.77709,5.58263,0.901659,0.555736,0.825649,0.97735,0.93765,0.61143,0.726176,1.64549,0.397908,0.457804,0.443877,0.344974,1.03318,0.888973,2.01138,0.567389,0.824567,0.635553,0.421589,0.161223,0.780537,0.792077,0.507592
3,0.547902,2.09641,1.39254,1.24247,1.09923,0.297212,0.375105,0.636565,1.1069,1.58519,1.61515,1.63725,1.1405,0.694655,0.838362,0.6027,2.61768,0.917993,1.11939,0.709275,0.805047,0.928912,1.14434,0.7929,1.60886,1.98081,1.20001,1.05809,0.499534,0.950569,0.655673,0.809774,0.921483,0.611905,1.02451,1.58277,1.3236,1.92788,1.08219,2.21938,1.42109,0.716601,1.29452,2.1995,2.97007,2.52759,0.88881,1.33781,0.600902,0.506456,1.48965,3.04839,3.66677,1.69748,1.06889,1.10549,0.837791,0.833122,2.19497,2.65786,3.01728,1.26984,0.82317,1.05749,1.23125,1.46766,1.93333,2.7446,2.40832,2.54372,1.48057,2.0717,1.38029,2.16634,1.19004,1.3214,1.01597,2.01065,1.84084,1.47756,1.57715,1.24321,1.31082,1.06423,0.657218,1.1057,1.85994,0.457205,1.16762,0.900257,1.22388,0.851811,0.479379,1.17371,0.650381,1.31613,0.831975,0.50596,0.517309,0.52624,0.246725,0.373887,0.436234,0.756527
4,0.0566627,0.797257,5.87485,1.65275,3.56707,0.386702,2.10857,3.90873,0.104052,0.378472,2.99627,2.06937,1.03597,0.719852,6.43336,2.95725,0.334678,0.231037,1.12041,0.433979,1.37045,1.72697,4.09982,1.95376,0.376306,0.431493,0.444102,0.574295,0.910767,1.94464,1.17883,1.80467,0.236236,0.545019,0.776237,0.505572,1.05147,0.952941,1.68002,3.42957,0.392475,0.315266,0.234852,2.07065,8.78681,4.789,1.10483,0.817403,0.424499,0.476005,0.332723,3.68379,9.84615,1.50141,1.98244,2.27381,0.32634,0.256231,2.11301,2.42313,2.07228,2.94434,2.04782,1.99423,0.49884,0.553969,1.93212,6.73419,3.16467,2.55026,2.06152,1.71111,0.729953,0.918716,2.39628,1.63099,1.81494,2.8785,2.33058,1.81556,1.81653,1.16717,0.402027,0.235445,0.679766,1.84,5.46483,1.40399,1.5092,0.426375,0.619552,0.431943,0.288806,1.05765,0.524398,1.56717,0.796028,0.483675,0.227654,0.29733,0.271837,0.389913,0.57113,1.45812
5,2.16043,6.43513,2.8085,4.38577,7.38289,0.786128,0.403013,0.43669,1.41867,2.62372,4.04526,6.32068,2.61317,0.624169,0.810299,0.615199,1.64892,0.67199,1.234,2.0399,4.02946,0.491236,2.07484,0.787856,1.57277,0.973681,0.810042,1.00414,1.2944,1.71401,0.571243,0.732005,0.918808,0.699971,0.914511,1.12,0.864096,2.36872,0.848065,1.00426,0.721088,0.626081,1.82687,2.24832,2.71583,1.90115,0.505685,0.774059,0.567283,1.20564,2.34508,2.25235,2.57439,1.06531,0.673713,0.690581,1.27965,1.28745,1.18271,1.79569,5.58847,1.07757,1.32252,0.769008,1.02707,1.10966,1.5246,1.97154,4.66593,8.96216,2.8643,1.95048,1.24371,0.787082,0.305878,0.861821,1.36555,3.33316,3.2816,1.29455,3.73784,0.543313,1.81685,1.09374,0.306524,0.538632,1.57259,0.797872,2.64241,0.86257,1.26368,0.928115,0.155024,0.45405,0.808957,1.91489,0.788985,0.904882,0.590861,0.413515,0.20657,0.395499,1.02601,0.549384
6,0.382974,1.53307,0.718909,1.39036,3.09722,0.686625,1.38684,2.26896,0.597431,1.07591,1.47071,3.57082,1.61701,1.1104,1.66605,1.97005,1.81757,0.872597,1.29928,1.1668,2.38583,0.820556,1.66203,1.39647,1.29328,1.43302,0.858227,0.768153,0.872464,1.40146,0.62398,0.885285,0.599257,0.760594,0.829923,1.78569,0.837771,2.15482,1.18577,1.81026,0.599803,0.433221,0.489849,1.81982,3.93924,2.94366,0.63895,0.863433,0.357375,0.377399,1.00075,2.06608,2.89979,1.89283,1.06988,0.831947,1.08402,0.292704,1.57424,2.46798,6.99585,1.69182,2.23572,1.01118,1.54963,0.603314,1.30829,6.58418,4.78449,4.53125,1.78828,1.84509,1.42979,0.663964,1.21139,3.01416,2.2031,3.53118,1.10369,1.08284,2.25254,0.25603,1.08353,1.19766,0.437521,1.18626,1.82709,0.704191,1.63884,0.409099,0.458596,0.547714,0.313954,0.65756,0.782764,1.53729,0.980088,0.501203,0.315527,0.620112,0.289499,0.532835,0.579749,1.22012
7,0.822776,1.14107,0.729827,0.904126,1.98067,1.47814,1.77211,2.46446,0.389734,0.638538,0.739103,1.19462,1.49191,0.901911,1.2493,2.09643,0.241721,0.754048,0.746219,0.961729,2.20637,1.15156,1.48612,1.27117,0.575368,0.854632,0.552585,0.364523,0.965991,2.38453,0.51917,0.731066,0.882878,0.234241,0.349963,0.620208,1.33227,1.81916,2.96364,0.730202,0.434631,0.376062,1.17782,2.78578,4.06036,3.65992,1.1907,2.2047,0.714828,1.1006,2.51151,2.08662,3.2214,1.84299,0.912046,1.65449,0.49657,0.963463,0.595724,2.57982,3.05368,1.5683,2.9535,3.36789,0.638703,1.16465,1.47779,1.2198,3.06378,1.5562,2.05398,3.35286,0.83844,0.52574,0.94659,2.16025,0.897044,1.30591,2.1811,1.75808,1.40531,0.864078,1.98167,0.928191,0.656507,0.643986,1.55527,0.815186,1.14803,0.457241,0.996228,0.653074,0.335953,0.944239,1.23554,1.91353,0.632189,0.350225,0.59458,0.744647,0.191899,0.509532,1.20418,0.873847
8,0.16912,0.567471,1.45697,0.886102,4.33284,0.283989,0.637343,1.76475,0.293274,0.605744,0.891891,2.81627,2.8815,1.73381,0.908775,1.9559,0.928412,0.508936,0.630816,0.767618,2.83357,2.05491,1.82279,0.866677,0.649453,0.625411,1.30018,1.08346,0.916634,1.41061,1.34175,1.22075,0.28619,0.702723,2.11882,1.68075,0.882228,1.96613,0.905874,3.2564,0.441566,0.993207,0.430043,2.63267,4.31006,3.97974,0.414087,0.431218,0.455622,0.596097,0.72755,3.59545,7.5705,1.35713,0.64617,0.557396,0.376901,0.152017,1.20615,2.54421,4.53791,2.13952,0.964779,2.07368,0.364085,0.369553,1.72828,11.8604,14.0002,3.81833,2.16843,1.59873,0.429709,0.530666,2.56496,5.53239,2.02925,4.87046,3.4693,1.56857,1.04097,0.578822,1.60675,0.722077,0.501864,1.82338,3.47202,1.31513,3.27306,0.749167,1.11428,0.365833,0.17764,0.852217,0.390768,1.04282,0.524556,0.935593,0.56862,0.768796,0.186118,0.197858,0.261432,1.16654
9,0.26751,2.03445,2.1996,0.805955,0.669573,0.135302,0.412739,0.698832,0.284641,0.779758,1.40294,2.00634,0.697365,0.397422,0.396273,0.746875,4.11651,0.751861,1.56922,0.930094,0.723646,0.614069,0.676448,0.470324,1.45472,0.707929,0.767816,0.689175,0.432853,0.930181,1.26902,0.7108,0.972876,0.292029,1.95102,4.25359,0.985492,1.03405,0.927359,0.700728,0.864375,0.71447,0.957147,4.7319,6.67669,2.18136,0.614955,0.618174,0.227114,0.463237,0.744974,5.93261,5.08484,1.12774,1.53231,0.774178,0.36961,0.616566,4.20665,5.88831,4.20977,1.23471,0.892461,0.947515,0.590057,0.969533,1.7695,3.42214,6.97522,3.99301,1.69495,0.884298,0.831403,2.256,2.75512,0.666609,1.69148,2.22133,0.533989,0.499614,0.968967,1.13753,3.68245,1.0495,0.58537,1.45395,1.77601,0.51979,2.32521,1.15045,0.66681,0.35519,0.375262,1.48845,0.590918,2.21035,1.10607,0.773985,0.208526,0.501108,0.294509,0.414955,0.542515,1.03023
10,0.530635,0.623867,0.886021,1.25947,0.960188,0.804875,0.895607,1.08449,0.165281,0.11567,0.60498,0.348731,0.885074,0.657699,1.28202,0.765017,0.384036,0.289848,0.699935,1.3639,1.49992,0.710508,2.00248,1.28469,0.259009,0.257722,0.651789,1.03755,0.988704,1.94931,1.56425,0.76863,0.431922,0.96532,0.657077,0.833553,0.976718,3.30291,4.539,0.604273,0.923652,1.58623,3.34537,1.80042,1.97727,2.40589,1.85024,3.25364,0.548219,3.37986,3.07828,1.62877,1.16024,1.372,2.27852,0.883159,0.432955,0.870973,1.68394,1.73676,4.72731,2.44628,2.28027,2.15132,0.523535,0.665615,0.941762,2.57307,4.19469,3.63197,3.28243,6.32031,0.65015,0.530178,0.378206,0.646957,1.16332,1.28145,1.2946,1.83429,2.80613,0.426168,0.787234,0.875733,0.961522,0.504535,1.2841,1.44282,2.19977,0.809422,0.580515,0.511754,0.433928,0.846747,0.998872,2.58768,0.587934,0.274883,0.440894,0.576642,0.326763,0.865215,0.826028,0.735493
11,0.471238,2.58785,6.92801,5.58912,8.38019,0.36287,0.945318,2.35672,0.21588,0.814072,5.92519,7.81484,2.05656,0.688524,0.614132,2.4185,0.469626,0.253182,2.41482,1.96975,4.85475,2.68241,1.29037,1.23426,0.143605,0.153536,0.509192,0.617821,1.59093,2.38208,1.57308,1.54524,0.221178,0.154407,0.52092,1.38637,1.41973,1.38394,1.46479,1.56449,0.295571,0.421575,0.686925,11.5017,9.03652,5.83905,1.25664,0.696353,0.0605301,0.397578,1.00223,3.76572,5.41668,1.6568,2.02218,2.0025,0.128765,0.326305,1.51404,2.34329,5.96869,2.91996,2.77256,2.99745,0.324113,0.276574,2.2435,4.76616,5.02165,2.01292,1.35862,1.07785,0.24145,0.639109,2.99035,1.76785,1.42337,1.28471,0.983269,0.570677,1.66289,0.647838,1.16209,1.65901,0.574921,1.47355,1.84516,1.11019,3.32464,0.427123,0.410217,0.308142,0.285531,0.834038,1.5672,4.34389,0.979865,0.416991,0.0786088,0.217508,0.479406,0.772888,0.995653,0.661397
12,0.316732,0.54326,1.39504,2.22175,2.55534,0.573837,0.547898,1.43413,0.219165,0.690593,1.4254,2.60791,2.30813,1.02854,1.08532,1.91234,1.26878,0.550033,1.09233,1.69586,3.28438,2.00149,1.67409,1.14493,0.45127,0.23593,0.5199,1.00575,0.863563,3.3219,0.968909,1.08808,0.33208,0.396865,0.568394,1.60641,0.724659,2.0218,1.5701,0.731338,0.447616,0.653339,2.20686,4.98162,2.80712,3.12492,1.45855,1.16909,0.314149,0.555802,1.44563,2.8502,1.61606,1.43668,1.03997,1.03958,0.429265,0.789251,1.6722,2.87873,5.43002,2.42194,1.45402,1.58548,0.581914,0.737354,2.29139,4.76326,9.45231,4.37464,1.53614,1.64147,0.480948,1.3368,1.15546,1.53391,1.86412,2.86729,0.790454,1.46073,1.18958,0.602708,1.90106,1.48032,0.551074,1.12976,0.806997,1.07333,3.33067,1.06238,1.45233,0.514254,0.295466,0.733273,0.541559,1.70873,0.857654,0.768987,0.625758,0.367935,0.194839,0.241464,0.461397,0.956714
13,0.968964,2.00919,7.84807,2.679,3.10041,0.410316,1.22464,1.33986,0.750907,1.36863,3.39022,3.4261,1.62647,0.78427,2.14734,2.7177,1.5158,0.444711,0.793753,1.09994,1.72807,1.13559,2.58578,2.15164,0.911956,0.761793,0.81834,0.975144,0.545237,1.12328,1.71461,2.35614,0.492161,0.40205,0.635089,0.535118,0.350288,1.15777,1.50459,3.3989,0.787829,0.950181,1.46175,0.845677,2.3182,2.52265,1.93269,2.89402,0.324825,0.617692,0.960941,1.66937,2.22571,1.7595,1.97093,2.36655,0.511925,0.424769,1.51519,0.800031,2.07656,3.36093,3.47709,3.27147,0.529518,0.982491,0.959031,0.956232,6.69931,4.35385,5.60014,3.19421,0.58814,0.819976,0.933817,0.996486,2.40118,4.21462,3.00988,1.04916,1.08124,0.524778,0.654786,1.12513,0.568186,0.937817,1.96883,1.02075,1.90329,0.858991,0.842737,0.482118,0.274758,1.21842,0.539844,1.66183,0.933654,0.605593,0.306955,0.281769,0.166425,0.596903,0.780668,0.921691
14,0.656527,0.943936,1.43882,1.19428,2.53424,0.624332,1.03311,1.23155,0.595943,0.462324,1.61661,2.06147,1.25926,0.943665,1.26429,1.20345,1.31435,0.558665,0.755566,1.06692,1.9033,0.962315,1.86936,0.632323,0.523655,0.359896,0.740164,1.26052,1.35674,1.23667,0.856281,0.936521,0.594763,0.549395,1.26916,1.68738,1.032,2.32607,1.27516,1.54411,0.558268,0.383742,0.68294,3.37335,4.34318,3.16856,0.547812,0.552855,0.195347,0.546196,0.828395,2.77914,2.44803,1.46637,1.53445,0.772013,0.462082,0.458302,1.8847,2.17951,5.75879,3.63356,2.82949,1.58194,0.567612,0.584375,1.99971,5.8381,14.8507,4.13952,1.812,0.87681,1.09385,1.00493,1.50501,2.34272,3.72943,2.1603,1.40123,0.372729,1.46172,0.492035,1.60994,0.955823,1.1172,2.38831,2.02011,0.713566,1.24549,0.521892,0.655183,0.567842,0.549398,0.96761,0.588467,1.42452,0.491258,0.397248,0.227333,0.810085,0.731982,0.430221,0.448187,0.690489
15,0.287686,0.807418,1.9326,1.41308,1.20795,0.260583,0.981337,1.75353,0.224043,0.610685,1.05767,1.86625,0.857643,0.484628,0.788405,1.14423,0.805899,0.640642,1.22246,1.28569,1.28643,0.417916,0.642759,1.58051,0.641036,1.12974,1.68884,0.706639,0.358242,0.49518,0.606061,0.457059,0.21447,0.47017,1.78603,2.9983,1.02215,2.19686,2.7503,1.89992,0.529295,0.456664,0.977443,2.32873,5.20293,2.1707,2.32013,2.66491,0.568589,0.55482,0.90667,3.00666,3.07027,3.01832,3.09785,1.24434,0.864951,0.270401,1.26173,2.94107,3.95163,3.81868,1.74719,2.19836,1.12466,0.381604,0.724286,2.22316,3.72866,3.90826,1.37104,3.75243,1.85574,1.60367,3.25353,4.02383,1.70146,2.65421,1.02808,2.4339,1.26799,0.561941,1.30718,1.35918,0.858401,0.940434,1.67204,1.86317,0.964732,0.340239,0.475707,0.361503,0.276025,0.623368,0.635708,2.67004,0.805496,0.409156,0.255313,0.396718,0.157739,0.69313,0.404004,1.00698
16,0.680275,2.62325,3.49805,2.37495,8.84253,0.356832,0.517163,0.698986,0.80303,1.43509,4.1436,4.71939,3.01871,1.02751,0.372444,0.53582,3.54451,0.800105,1.00532,1.64304,2.78654,0.306219,0.904965,0.405679,1.53268,0.600359,0.760341,0.833087,0.716252,0.830266,0.500825,0.622365,0.483311,0.517408,1.99515,1.75332,1.13151,4.05321,1.3004,4.33619,0.832433,0.835482,0.612143,3.57225,3.63896,4.01657,0.914037,0.807825,0.363966,0.887745,0.637991,2.20946,6.85712,1.85624,1.44517,0.623153,0.845136,0.220329,1.01532,2.50085,12.1363,3.1755,1.11888,2.71356,0.948126,0.556301,2.14697,4.77041,14.9503,16.81,2.20609,1.60246,0.937247,1.49501,2.0729,4.09629,2.22198,3.06287,2.67091,0.632676,1.44718,0.515623,2.4386,1.38195,0.404207,0.585759,2.30037,1.14572,3.4097,0.750536,1.05378,0.563232,0.069517,0.416456,0.219243,2.57717,0.610875,0.777065,0.463822,0.599255,0.183939,0.182363,0.3641,0.975979
17,0.297045,0.290459,1.48208,1.58227,3.48877,0.915534,1.2689,1.33227,0.114279,0.405529,0.713393,1.10018,2.27221,0.724828,0.807763,1.3231,0.427006,0.33161,0.542294,1.03335,3.0183,1.07725,2.15542,1.08633,0.589808,0.368694,0.260104,0.318382,1.69103,1.70229,0.644574,0.444801,0.672975,0.469586,0.614635,1.62239,1.72539,3.09659,2.01289,1.44336,0.498874,0.325448,0.639333,2.53751,2.64647,1.93233,2.28318,5.70642,0.792178,0.974432,1.26842,1.80872,1.76795,3.22972,3.9827,1.21572,1.72944,0.482528,0.822743,1.29968,6.45455,7.38175,5.30077,2.70948,0.546897,0.874225,0.987596,1.3825,4.45576,3.67494,1.88327,3.29091,0.799466,3.01085,1.95173,2.89654,1.75664,2.94882,1.0204,1.57513,0.90011,0.719229,2.31172,0.345601,0.3634,0.498061,1.55594,1.89434,0.645377,0.577975,1.53847,0.6596,0.238996,0.378945,0.16905,1.95954,0.423528,0.366317,0.399805,0.582668,0.53427,0.296101,0.611838,1.38719
18,0.356888,0.955795,5.78531,3.35314,2.40567,0.339706,0.713373,1.83327,0.290101,0.562355,3.05405,3.24897,0.54174,0.287448,0.400083,1.81851,1.80143,0.616194,2.0285,1.89988,1.76944,0.45871,0.86228,1.87063,0.569786,0.429607,0.66763,1.07881,0.808602,1.11943,0.604379,0.638371,0.267328,0.877158,1.1152,1.13656,1.35209,4.34197,3.00062,2.37876,0.592004,1.73228,2.37977,3.75663,3.92287,4.87013,2.00274,1.45556,0.68356,1.33892,1.72855,3.05232,2.81918,2.16858,1.16467,0.600992,0.629694,0.435512,0.995776,2.88011,7.42016,3.0546,1.52576,1.2301,0.813326,0.538512,1.21257,6.90218,8.89235,3.74098,1.05414,0.723976,0.786514,1.05265,2.29477,3.59683,1.81604,1.17596,1.51884,0.664729,2.59014,0.803429,1.05154,1.47588,0.713461,0.813243,1.7908,0.949133,1.87024,0.842566,0.481558,0.40744,0.209259,0.412873,0.627685,1.57507,1.40023,0.540202,0.520063,0.63748,0.194044,0.421941,0.468673,0.86164
